RID,Time_Departure,Distance,Weekday,Hour,Day,Signaltype,Time_Arrival,Speed_Per_Hour,Time_Driving,Address1,Address2
R00000,2023-01-01 00:00:00,112987.49553536139,Thu,13,26,27,2023-01-01 01:23:00,96.1912151477338,4228.0,서울특별시,상세주소0
R00001,2023-01-01 01:00:00,285263.57761656493,Sun,7,8,33,2023-01-01 05:54:00,39.67623338459404,25883.0,서울특별시,상세주소1
R00002,2023-01-01 02:00:00,219866.18860161013,Wed,18,16,14,2023-01-01 06:04:00,77.73319737264853,10182.0,경기도,상세주소2
R00003,2023-01-01 03:00:00,179998.88677491393,Sun,13,13,31,2023-01-01 04:12:00,28.17985033052708,22995.0,경기도,상세주소3
R00004,2023-01-01 04:00:00,47649.57349228852,Thu,9,13,25,2023-01-01 05:43:00,51.16088596818671,3352.0,경기도,상세주소4
R00005,2023-01-01 05:00:00,47642.36158052459,Sat,16,17,47,2023-01-01 09:31:00,60.441630588926486,2837.0,서울특별시,상세주소5
R00006,2023-01-01 06:00:00,18367.00003829164,Tue,8,23,30,2023-01-01 08:39:00,48.05017968593026,1376.0,경기도,상세주소6
R00007,2023-01-01 07:00:00,259986.66758670562,Sat,5,20,18,2023-01-01 10:43:00,56.613467963320794,16532.0,경기도,상세주소7
R00008,2023-01-01 08:00:00,180733.38851121944,Sun,10,5,8,2023-01-01 09:01:00,56.709097888422775,11473.0,경기도,상세주소8
R00009,2023-01-01 09:00:00,212713.7007610176,Tue,6,22,28,2023-01-01 11:15:00,76.13867100060128,10057.0,경기도,상세주소9
R00010,2023-01-01 10:00:00,7154.763794444932,Mon,16,21,38,2023-01-01 13:53:00,18.26496422026517,1410.0,충청남도,상세주소10
R00011,2023-01-01 11:00:00,291003.0457964363,Fri,0,28,3,2023-01-01 11:30:00,48.741605439438715,21493.0,경기도,상세주소11
R00012,2023-01-01 12:00:00,249900.3495993261,Sat,21,17,2,2023-01-01 16:34:00,85.09272695541912,10572.0,인천광역시,상세주소12
R00013,2023-01-01 13:00:00,64489.39409280457,Thu,4,28,28,2023-01-01 14:41:00,71.24959846633189,3258.0,서울특별시,상세주소13
R00014,2023-01-01 14:00:00,55365.66519492309,Mon,8,9,10,2023-01-01 14:44:00,85.42572524254027,2333.0,-,상세주소14
R00015,2023-01-01 15:00:00,55837.94844617671,Fri,17,2,32,2023-01-01 16:22:00,75.1757870954537,2673.0,경기도,상세주소15
R00016,2023-01-01 16:00:00,91968.43064490177,Thu,23,25,37,2023-01-01 16:37:00,38.32969785980379,8637.0,경기도,상세주소16
R00017,2023-01-01 17:00:00,157902.1730580391,Wed,20,26,10,2023-01-01 18:15:00,73.21794342239153,7763.0,경기도,상세주소17
R00018,2023-01-01 18:00:00,130151.56057399261,Thu,1,18,26,2023-01-01 20:23:00,62.003856001855254,7556.0,경기도,상세주소18
R00019,2023-01-01 19:00:00,88077.51291921453,Tue,10,9,32,2023-01-01 21:56:00,105.36122663585982,3009.0,서울특별시,상세주소19
R00020,2023-01-01 20:00:00,183944.01552199147,Tue,5,6,20,2023-01-01 23:15:00,76.04329164988819,8708.0,경기도,상세주소20
R00021,2023-01-01 21:00:00,42708.66433496051,Wed,7,11,38,2023-01-01 23:48:00,70.46734815355201,2181.0,경기도,상세주소21
R00022,2023-01-01 22:00:00,88351.24991203022,Mon,3,25,30,2023-01-02 00:26:00,73.38848526682622,4333.0,충청남도,상세주소22
R00023,2023-01-01 23:00:00,110542.19114481381,Fri,17,29,37,2023-01-02 02:27:00,69.37691083333247,5736.0,서울특별시,상세주소23
R00024,2023-01-02 00:00:00,137364.92528089375,Thu,10,6,45,2023-01-02 03:03:00,68.83602255492146,7183.0,경기도,상세주소24
R00025,2023-01-02 01:00:00,235767.61245651107,Tue,4,6,1,2023-01-02 04:50:00,54.674132612061626,15524.0,경기도,상세주소25
R00026,2023-01-02 02:00:00,60702.46086534956,Mon,14,13,26,2023-01-02 04:24:00,70.70945774040001,3090.0,경기도,상세주소26
R00027,2023-01-02 03:00:00,154756.09708566987,Wed,17,11,35,2023-01-02 06:08:00,78.96933360545391,7054.0,강원도,상세주소27
R00028,2023-01-02 04:00:00,178131.9560897507,Sun,1,14,10,2023-01-02 05:11:00,81.2065613806417,7896.0,충청남도,상세주소28
R00029,2023-01-02 05:00:00,14888.67340327932,Sat,21,2,46,2023-01-02 09:36:00,78.78233639207028,680.0,충청남도,상세주소29
R00030,2023-01-02 06:00:00,182655.91071853007,Sun,10,8,17,2023-01-02 07:37:00,90.16127292304144,7293.0,강원도,상세주소30
R00031,2023-01-02 07:00:00,51986.71298250017,Sun,12,3,0,2023-01-02 10:45:00,82.45784246607849,2269.0,서울특별시,상세주소31
R00032,2023-01-02 08:00:00,20450.426302598575,Tue,3,23,34,2023-01-02 09:59:00,72.5703582820154,1014.0,경기도,상세주소32
R00033,2023-01-02 09:00:00,284716.7756387466,Wed,21,21,34,2023-01-02 11:20:00,37.126784006725956,27607.0,서울특별시,상세주소33
R00034,2023-01-02 10:00:00,289723.9778892932,Thu,6,3,30,2023-01-02 12:54:00,37.13463354341832,28087.0,인천광역시,상세주소34
R00035,2023-01-02 11:00:00,242710.80708682188,Sun,10,1,27,2023-01-02 14:28:00,55.03731193477299,15875.0,충청남도,상세주소35
R00036,2023-01-02 12:00:00,92079.51698283784,Sun,21,24,38,2023-01-02 16:30:00,60.93507372095438,5439.0,서울특별시,상세주소36
R00037,2023-01-02 13:00:00,30203.962087908778,Fri,23,19,0,2023-01-02 16:02:00,87.96003062406524,1236.0,서울특별시,상세주소37
R00038,2023-01-02 14:00:00,205585.6749271349,Tue,3,18,24,2023-01-02 16:13:00,10.0,74010.0,강원도,상세주소38
R00039,2023-01-02 15:00:00,132605.59562814079,Tue,14,17,42,2023-01-02 16:44:00,39.335874745138085,12135.0,경기도,상세주소39
