number,region,area_sqm,num_rooms,num_bathrooms,building_age
1,서초,105.0,4.0,3.0,12.0
2,서초,105.0,2.0,3.0,13.0
3,강남,128.0,1.0,2.0,18.0
4,강남,137.0,2.0,1.0,13.0
5,서초,115.0,1.0,1.0,38.0
6,마포,192.0,2.0,3.0,13.0
7,강북,66.0,4.0,3.0,39.0
8,마포,96.0,,2.0,24.0
9,마포,180.0,1.0,2.0,29.0
10,강남,195.0,3.0,3.0,37.0
11,서초,73.0,3.0,3.0,30.0
12,강북,131.0,4.0,2.0,29.0
13,강남,196.0,3.0,3.0,39.0
14,마포,127.0,3.0,3.0,11.0
15,기타,199.0,2.0,2.0,5.0
16,강남,77.0,5.0,3.0,17.0
17,강남,113.0,5.0,3.0,11.0
18,서초,198.0,5.0,1.0,1.0
19,마포,166.0,5.0,3.0,34.0
20,강남,104.0,4.0,2.0,37.0
21,서초,134.0,5.0,3.0,34.0
22,서초,119.0,3.0,3.0,16.0
23,강남,91.0,5.0,2.0,39.0
24,강남,89.0,3.0,1.0,22.0
25,강남,129.0,3.0,1.0,16.0
26,기타,105.0,3.0,2.0,2.0
27,서초,184.0,4.0,2.0,2.0
28,서초,182.0,4.0,2.0,10.0
29,마포,188.0,2.0,1.0,14.0
30,서초,185.0,5.0,2.0,12.0
31,기타,90.0,2.0,2.0,3.0
32,마포,127.0,2.0,1.0,1.0
33,강북,56.0,4.0,2.0,0.0
34,강북,160.0,2.0,2.0,34.0
35,기타,159.0,5.0,2.0,21.0
36,강북,193.0,4.0,3.0,12.0
37,마포,171.0,4.0,2.0,26.0
38,마포,71.0,4.0,2.0,30.0
39,서초,131.0,2.0,2.0,22.0
40,기타,157.0,3.0,1.0,8.0
41,강남,193.0,2.0,,19.0
42,강남,73.0,4.0,2.0,8.0
43,마포,102.0,1.0,1.0,8.0
44,마포,171.0,2.0,3.0,16.0
45,강남,93.0,1.0,2.0,6.0
46,강남,57.0,1.0,3.0,27.0
47,서초,102.0,3.0,2.0,24.0
48,강남,69.0,5.0,3.0,33.0
49,마포,187.0,1.0,2.0,37.0
50,강북,180.0,4.0,3.0,32.0
51,서초,66.0,5.0,2.0,22.0
52,서초,159.0,4.0,2.0,6.0
53,강남,102.0,2.0,1.0,34.0
54,강남,82.0,1.0,2.0,1.0
55,서초,180.0,5.0,1.0,33.0
56,강남,129.0,4.0,3.0,2.0
57,서초,78.0,5.0,3.0,27.0
58,강남,161.0,2.0,1.0,
59,강남,178.0,1.0,3.0,1.0
60,강남,101.0,,2.0,15.0
61,강북,134.0,4.0,1.0,37.0
62,강남,173.0,1.0,1.0,36.0
63,기타,136.0,2.0,3.0,0.0
64,강북,144.0,1.0,2.0,27.0
65,강북,199.0,2.0,1.0,23.0
66,서초,162.0,1.0,3.0,29.0
67,강북,51.0,3.0,3.0,3.0
68,강남,155.0,5.0,2.0,22.0
69,강남,93.0,5.0,2.0,37.0
70,서초,196.0,3.0,1.0,24.0
71,마포,166.0,5.0,2.0,28.0
72,서초,51.0,4.0,2.0,16.0
73,서초,119.0,2.0,2.0,39.0
74,강북,163.0,1.0,3.0,14.0
75,서초,69.0,2.0,1.0,31.0
76,강남,162.0,2.0,1.0,24.0
77,서초,94.0,5.0,2.0,18.0
78,서초,62.0,2.0,2.0,17.0
79,마포,96.0,1.0,2.0,10.0
80,강남,141.0,,2.0,28.0
81,마포,56.0,1.0,3.0,39.0
82,서초,102.0,5.0,3.0,26.0
83,서초,112.0,5.0,1.0,26.0
84,강북,56.0,1.0,1.0,32.0
85,기타,133.0,3.0,1.0,0.0
86,강남,156.0,1.0,1.0,4.0
87,강남,177.0,,3.0,
88,강남,134.0,5.0,1.0,2.0
89,강남,128.0,5.0,3.0,28.0
90,기타,135.0,4.0,2.0,26.0
91,강남,139.0,3.0,3.0,15.0
92,강남,136.0,5.0,3.0,36.0
93,서초,172.0,3.0,2.0,14.0
94,강북,74.0,1.0,2.0,23.0
95,강남,108.0,1.0,3.0,11.0
96,마포,104.0,4.0,3.0,0.0
97,강북,194.0,1.0,2.0,26.0
98,서초,175.0,5.0,1.0,1.0
99,마포,156.0,5.0,1.0,0.0
100,서초,180.0,4.0,2.0,30.0
101,서초,73.0,3.0,1.0,15.0
102,강북,119.0,3.0,2.0,22.0
103,강북,75.0,5.0,2.0,6.0
104,강남,67.0,2.0,2.0,1.0
105,기타,139.0,5.0,2.0,13.0
106,강남,179.0,1.0,1.0,24.0
107,강남,99.0,3.0,2.0,30.0
108,강남,163.0,4.0,1.0,1.0
109,기타,139.0,4.0,2.0,32.0
110,강북,74.0,2.0,2.0,5.0
111,마포,93.0,5.0,1.0,
112,기타,121.0,3.0,3.0,31.0
113,마포,90.0,4.0,1.0,34.0
114,강북,195.0,4.0,3.0,23.0
115,기타,99.0,1.0,1.0,32.0
116,마포,127.0,2.0,2.0,14.0
117,강남,50.0,2.0,3.0,15.0
118,마포,158.0,1.0,2.0,11.0
119,마포,103.0,5.0,1.0,38.0
120,강북,172.0,3.0,1.0,13.0
121,강남,99.0,2.0,3.0,16.0
122,마포,134.0,2.0,3.0,16.0
123,강남,115.0,2.0,1.0,18.0
124,강북,143.0,4.0,2.0,31.0
125,강북,137.0,1.0,3.0,12.0
126,강북,162.0,4.0,3.0,13.0
127,강남,196.0,3.0,2.0,14.0
128,서초,64.0,1.0,2.0,29.0
129,강북,184.0,3.0,1.0,10.0
130,서초,57.0,2.0,3.0,3.0
131,강북,62.0,5.0,1.0,17.0
132,강북,98.0,2.0,1.0,35.0
133,강남,92.0,2.0,3.0,33.0
134,기타,179.0,4.0,2.0,1.0
135,강남,99.0,2.0,1.0,1.0
136,서초,80.0,4.0,2.0,28.0
137,서초,181.0,2.0,3.0,
138,강남,67.0,4.0,2.0,
139,마포,127.0,3.0,1.0,13.0
140,강남,123.0,5.0,1.0,37.0
141,서초,143.0,5.0,3.0,25.0
142,강남,190.0,2.0,1.0,3.0
143,마포,154.0,2.0,2.0,37.0
144,마포,163.0,5.0,2.0,15.0
145,서초,97.0,4.0,3.0,33.0
146,강남,86.0,5.0,3.0,8.0
147,기타,137.0,3.0,2.0,21.0
148,서초,110.0,2.0,,24.0
149,강북,133.0,4.0,1.0,25.0
150,마포,161.0,4.0,1.0,35.0
151,강남,199.0,5.0,1.0,
152,마포,172.0,1.0,2.0,37.0
153,강남,81.0,4.0,3.0,29.0
154,마포,144.0,1.0,3.0,33.0
155,강남,61.0,4.0,2.0,30.0
156,서초,85.0,4.0,2.0,15.0
157,기타,182.0,2.0,1.0,26.0
158,기타,81.0,1.0,2.0,28.0
159,강남,171.0,2.0,1.0,5.0
160,기타,137.0,5.0,3.0,36.0
161,서초,161.0,5.0,2.0,34.0
162,기타,181.0,3.0,3.0,8.0
163,서초,179.0,4.0,1.0,21.0
164,강남,194.0,5.0,3.0,20.0
165,서초,145.0,4.0,2.0,20.0
166,강북,162.0,3.0,1.0,27.0
167,서초,96.0,4.0,1.0,22.0
168,서초,93.0,5.0,2.0,21.0
169,강남,176.0,1.0,3.0,30.0
170,마포,95.0,4.0,1.0,18.0
171,마포,127.0,4.0,1.0,10.0
172,마포,101.0,1.0,2.0,3.0
173,강북,182.0,3.0,1.0,20.0
174,서초,132.0,4.0,3.0,5.0
175,강남,129.0,1.0,3.0,35.0
176,강북,157.0,4.0,2.0,13.0
177,마포,97.0,4.0,1.0,24.0
178,마포,52.0,3.0,3.0,
179,마포,177.0,1.0,2.0,3.0
180,서초,178.0,3.0,1.0,21.0
181,기타,119.0,5.0,2.0,28.0
182,강북,93.0,3.0,2.0,29.0
183,강남,125.0,1.0,2.0,6.0
184,강남,151.0,5.0,3.0,14.0
185,강남,123.0,3.0,2.0,5.0
186,강남,66.0,4.0,3.0,32.0
187,강남,152.0,5.0,1.0,10.0
188,기타,137.0,3.0,3.0,33.0
189,마포,167.0,3.0,2.0,37.0
190,기타,165.0,3.0,2.0,11.0
191,서초,119.0,1.0,3.0,26.0
192,강북,74.0,,2.0,12.0
193,강북,76.0,4.0,2.0,21.0
194,강북,139.0,3.0,3.0,17.0
195,서초,82.0,4.0,1.0,8.0
196,마포,180.0,4.0,3.0,18.0
197,강남,96.0,1.0,2.0,30.0
198,마포,124.0,3.0,2.0,24.0
199,강남,66.0,4.0,3.0,36.0
200,서초,102.0,5.0,3.0,8.0
201,강북,163.0,5.0,3.0,11.0
202,강남,89.0,3.0,,23.0
203,서초,146.0,1.0,3.0,13.0
204,강남,78.0,2.0,1.0,28.0
205,마포,189.0,1.0,3.0,30.0
206,서초,179.0,2.0,2.0,0.0
207,강북,142.0,5.0,2.0,33.0
208,강북,187.0,2.0,1.0,24.0
209,강남,188.0,4.0,2.0,30.0
210,강북,97.0,4.0,1.0,7.0
211,기타,160.0,2.0,1.0,6.0
212,마포,118.0,1.0,1.0,29.0
213,서초,81.0,5.0,,29.0
214,강북,71.0,2.0,3.0,25.0
215,강남,78.0,3.0,3.0,11.0
216,서초,164.0,3.0,1.0,34.0
217,마포,153.0,1.0,3.0,12.0
218,강북,185.0,3.0,2.0,7.0
219,서초,196.0,4.0,3.0,19.0
220,마포,127.0,1.0,2.0,24.0
221,강남,139.0,5.0,3.0,28.0
222,서초,102.0,,3.0,26.0
223,마포,99.0,4.0,3.0,38.0
224,강남,198.0,4.0,2.0,4.0
225,마포,158.0,5.0,3.0,34.0
226,기타,60.0,3.0,2.0,36.0
227,강남,112.0,5.0,3.0,15.0
228,강북,118.0,5.0,1.0,9.0
229,강북,84.0,1.0,2.0,22.0
230,서초,188.0,2.0,3.0,23.0
231,강북,194.0,4.0,3.0,25.0
232,강북,179.0,2.0,1.0,32.0
233,강북,91.0,4.0,1.0,28.0
234,서초,198.0,4.0,2.0,17.0
235,강남,62.0,5.0,1.0,24.0
236,기타,160.0,4.0,3.0,4.0
237,마포,120.0,3.0,1.0,30.0
238,강남,190.0,3.0,3.0,0.0
239,서초,147.0,1.0,1.0,24.0
240,기타,147.0,1.0,2.0,33.0
241,서초,60.0,1.0,3.0,35.0
242,강북,101.0,2.0,1.0,38.0
243,마포,136.0,4.0,1.0,17.0
244,강남,132.0,5.0,3.0,17.0
245,강북,188.0,2.0,1.0,15.0
246,강남,139.0,4.0,1.0,18.0
247,강남,143.0,2.0,,18.0
248,마포,51.0,4.0,2.0,11.0
249,기타,175.0,5.0,2.0,29.0
250,강북,80.0,4.0,3.0,11.0
251,강남,126.0,3.0,2.0,7.0
252,서초,100.0,4.0,2.0,
253,강북,105.0,1.0,3.0,36.0
254,서초,112.0,2.0,3.0,25.0
255,강남,138.0,3.0,2.0,28.0
256,강북,174.0,2.0,3.0,35.0
257,마포,51.0,4.0,2.0,30.0
258,강북,168.0,3.0,2.0,9.0
259,서초,182.0,5.0,2.0,38.0
260,서초,89.0,4.0,1.0,26.0
261,마포,193.0,3.0,3.0,9.0
262,마포,150.0,3.0,3.0,21.0
263,마포,142.0,4.0,3.0,32.0
264,강남,154.0,5.0,3.0,15.0
265,강북,146.0,4.0,,2.0
266,마포,54.0,2.0,3.0,15.0
267,서초,182.0,3.0,2.0,24.0
268,강남,120.0,1.0,1.0,1.0
269,강남,88.0,2.0,3.0,22.0
270,강북,183.0,3.0,1.0,15.0
271,강북,119.0,5.0,1.0,1.0
272,마포,156.0,4.0,3.0,18.0
273,마포,86.0,3.0,1.0,33.0
274,마포,72.0,5.0,1.0,31.0
275,서초,195.0,4.0,2.0,36.0
276,마포,183.0,2.0,2.0,7.0
277,강남,123.0,4.0,2.0,1.0
278,마포,161.0,3.0,1.0,30.0
279,강남,57.0,1.0,3.0,34.0
280,강남,178.0,5.0,2.0,35.0
281,마포,87.0,4.0,2.0,38.0
282,강남,82.0,3.0,1.0,7.0
283,서초,115.0,3.0,2.0,8.0
284,강남,162.0,5.0,1.0,11.0
285,강남,196.0,1.0,1.0,12.0
286,강남,82.0,1.0,3.0,8.0
287,강북,171.0,5.0,1.0,
288,서초,99.0,4.0,,35.0
289,강남,141.0,4.0,3.0,22.0
290,기타,197.0,3.0,1.0,15.0
291,강남,123.0,3.0,1.0,20.0
292,서초,55.0,1.0,2.0,11.0
293,마포,155.0,2.0,3.0,21.0
294,기타,193.0,5.0,3.0,18.0
295,마포,52.0,4.0,1.0,24.0
296,강북,152.0,3.0,1.0,30.0
297,강북,192.0,2.0,2.0,3.0
298,마포,176.0,4.0,1.0,37.0
299,강북,59.0,1.0,3.0,29.0
300,강북,151.0,3.0,1.0,30.0
301,서초,78.0,1.0,1.0,7.0
302,강북,199.0,2.0,2.0,27.0
303,강남,186.0,2.0,1.0,2.0
304,서초,74.0,2.0,1.0,15.0
305,강남,130.0,2.0,3.0,6.0
306,강북,70.0,4.0,1.0,16.0
307,기타,171.0,2.0,2.0,19.0
308,강북,93.0,5.0,3.0,2.0
309,서초,103.0,3.0,2.0,0.0
310,강남,118.0,2.0,3.0,35.0
311,서초,61.0,3.0,1.0,1.0
312,서초,97.0,4.0,3.0,30.0
313,마포,64.0,3.0,3.0,2.0
314,강북,71.0,3.0,3.0,20.0
315,강남,122.0,3.0,1.0,5.0
316,강남,107.0,3.0,3.0,25.0
317,강북,199.0,1.0,2.0,5.0
318,서초,86.0,3.0,2.0,8.0
319,마포,84.0,3.0,1.0,17.0
320,기타,195.0,5.0,2.0,11.0
321,강북,52.0,2.0,3.0,19.0
322,강남,186.0,3.0,2.0,19.0
323,마포,62.0,2.0,2.0,5.0
324,강남,195.0,5.0,2.0,23.0
325,마포,180.0,4.0,1.0,24.0
326,서초,95.0,3.0,3.0,28.0
327,서초,175.0,4.0,1.0,21.0
328,마포,136.0,3.0,1.0,39.0
329,서초,156.0,4.0,1.0,29.0
330,강남,191.0,5.0,3.0,26.0
331,강남,87.0,3.0,3.0,19.0
332,기타,168.0,4.0,3.0,6.0
333,강남,123.0,3.0,2.0,38.0
334,강남,186.0,4.0,2.0,9.0
335,서초,139.0,4.0,1.0,23.0
336,강북,102.0,4.0,1.0,
337,마포,117.0,2.0,2.0,1.0
338,마포,152.0,4.0,2.0,32.0
339,강북,182.0,1.0,3.0,25.0
340,강남,122.0,1.0,3.0,7.0
341,마포,143.0,1.0,3.0,
342,강남,114.0,3.0,1.0,15.0
343,강북,193.0,1.0,3.0,15.0
344,기타,115.0,4.0,2.0,10.0
345,기타,101.0,5.0,2.0,12.0
346,서초,60.0,4.0,3.0,25.0
347,마포,190.0,3.0,1.0,20.0
348,강남,73.0,1.0,1.0,12.0
349,강북,87.0,3.0,1.0,32.0
350,강북,183.0,5.0,2.0,26.0
351,강남,184.0,4.0,1.0,3.0
352,강북,117.0,1.0,3.0,22.0
353,강북,62.0,1.0,1.0,30.0
354,강북,190.0,2.0,3.0,34.0
355,강북,114.0,1.0,1.0,14.0
356,마포,104.0,5.0,2.0,3.0
357,강남,134.0,5.0,1.0,25.0
358,강남,51.0,4.0,1.0,13.0
359,서초,160.0,2.0,3.0,18.0
360,강북,62.0,4.0,2.0,29.0
361,마포,188.0,3.0,2.0,35.0
362,강북,82.0,5.0,1.0,5.0
363,마포,160.0,5.0,1.0,9.0
364,강남,67.0,1.0,3.0,38.0
365,기타,153.0,1.0,3.0,38.0
366,기타,179.0,3.0,2.0,30.0
367,기타,175.0,5.0,2.0,
368,강남,151.0,3.0,1.0,4.0
369,기타,184.0,4.0,3.0,23.0
370,서초,112.0,3.0,1.0,11.0
371,강북,111.0,4.0,2.0,12.0
372,강남,147.0,4.0,3.0,2.0
373,기타,128.0,3.0,3.0,9.0
374,강남,75.0,4.0,1.0,13.0
375,마포,158.0,5.0,2.0,36.0
376,강남,151.0,2.0,2.0,12.0
377,서초,107.0,5.0,2.0,5.0
378,서초,119.0,2.0,2.0,15.0
379,마포,80.0,4.0,3.0,16.0
380,강남,114.0,4.0,2.0,36.0
381,마포,153.0,4.0,3.0,
382,강남,101.0,2.0,1.0,11.0
383,마포,118.0,3.0,2.0,30.0
384,기타,148.0,1.0,3.0,1.0
385,마포,149.0,4.0,1.0,34.0
386,강남,123.0,2.0,2.0,17.0
387,강북,190.0,5.0,2.0,36.0
388,서초,104.0,5.0,2.0,3.0
389,강남,176.0,2.0,3.0,21.0
390,마포,165.0,3.0,1.0,39.0
391,강남,69.0,3.0,2.0,0.0
392,서초,83.0,5.0,3.0,20.0
393,서초,73.0,,2.0,9.0
394,강남,190.0,5.0,3.0,13.0
395,서초,180.0,3.0,2.0,37.0
396,마포,90.0,,3.0,6.0
397,마포,128.0,1.0,3.0,19.0
398,서초,125.0,3.0,2.0,37.0
399,서초,87.0,3.0,2.0,12.0
400,강북,196.0,1.0,2.0,10.0
401,강북,164.0,2.0,3.0,2.0
402,강남,57.0,2.0,2.0,0.0
403,강남,65.0,4.0,3.0,2.0
404,강북,199.0,4.0,2.0,26.0
405,서초,78.0,1.0,2.0,13.0
406,강북,108.0,4.0,,24.0
407,서초,111.0,1.0,1.0,33.0
408,서초,145.0,5.0,3.0,1.0
409,강남,160.0,2.0,1.0,26.0
410,서초,165.0,1.0,2.0,10.0
411,마포,166.0,2.0,1.0,35.0
412,마포,160.0,4.0,3.0,25.0
413,강남,123.0,3.0,3.0,25.0
414,강북,113.0,4.0,3.0,21.0
415,강북,71.0,2.0,2.0,27.0
416,강북,139.0,2.0,1.0,25.0
417,강남,64.0,3.0,3.0,30.0
418,마포,119.0,1.0,3.0,38.0
419,기타,121.0,3.0,1.0,33.0
420,강남,156.0,1.0,1.0,17.0
421,강남,166.0,4.0,1.0,23.0
422,강남,123.0,5.0,3.0,26.0
423,서초,51.0,4.0,3.0,28.0
424,마포,118.0,3.0,3.0,37.0
425,강북,92.0,5.0,3.0,37.0
426,강남,61.0,2.0,2.0,32.0
427,강북,175.0,2.0,2.0,39.0
428,강북,189.0,3.0,3.0,33.0
429,기타,151.0,5.0,,8.0
430,강남,163.0,1.0,1.0,7.0
431,강남,198.0,4.0,3.0,15.0
432,강남,179.0,2.0,1.0,19.0
433,강남,85.0,3.0,3.0,11.0
434,마포,127.0,5.0,1.0,25.0
435,마포,167.0,5.0,2.0,38.0
436,기타,198.0,1.0,3.0,36.0
437,강북,50.0,4.0,3.0,2.0
438,서초,82.0,2.0,1.0,30.0
