number,building_material,parking_spaces,subway_stations_1km,amenities_500m,school_score,price_eok
1,목조,1.0,1.0,11.0,7.0,29.7
2,목조,2.0,3.0,2.0,3.0,29.6
3,벽돌,2.0,,11.0,9.0,30.3
4,벽돌,2.0,0.0,5.0,3.0,29.1
5,철근콘크리트,1.0,3.0,10.0,4.0,26.4
6,목조,2.0,2.0,8.0,8.0,36.4
7,벽돌,1.0,1.0,13.0,4.0,12.1
8,철근콘크리트,2.0,2.0,12.0,7.0,26.0
9,철근콘크리트,3.0,0.0,2.0,6.0,25.9
10,목조,,1.0,7.0,5.0,33.8
11,철근콘크리트,2.0,0.0,1.0,2.0,16.9
12,목조,2.0,1.0,7.0,9.0,23.0
13,벽돌,3.0,0.0,0.0,7.0,31.8
14,목조,2.0,1.0,1.0,6.0,26.3
15,철근콘크리트,2.0,1.0,1.0,3.0,28.5
16,목조,1.0,0.0,13.0,3.0,24.6
17,벽돌,1.0,0.0,9.0,2.0,28.5
18,철근콘크리트,2.0,2.0,14.0,9.0,45.0
19,철근콘크리트,2.0,3.0,13.0,1.0,30.1
20,벽돌,1.0,0.0,2.0,4.0,22.2
21,벽돌,2.0,1.0,8.0,2.0,25.9
22,목조,2.0,0.0,7.0,1.0,24.2
23,벽돌,1.0,2.0,4.0,1.0,23.7
24,철근콘크리트,1.0,0.0,11.0,7.0,25.6
25,,2.0,3.0,6.0,6.0,35.8
26,목조,2.0,3.0,8.0,10.0,28.4
27,벽돌,2.0,0.0,10.0,3.0,35.5
28,목조,2.0,0.0,10.0,6.0,35.2
29,벽돌,3.0,0.0,6.0,7.0,31.1
30,벽돌,3.0,3.0,9.0,1.0,39.0
31,철근콘크리트,2.0,1.0,11.0,5.0,20.0
32,목조,1.0,3.0,0.0,6.0,27.5
33,철근콘크리트,1.0,1.0,7.0,3.0,17.8
34,벽돌,2.0,1.0,0.0,5.0,20.7
35,벽돌,2.0,1.0,0.0,2.0,22.2
36,목조,3.0,1.0,9.0,3.0,29.3
37,목조,2.0,2.0,3.0,6.0,31.2
38,목조,2.0,2.0,7.0,6.0,20.8
39,철근콘크리트,1.0,1.0,12.0,8.0,29.9
40,목조,2.0,3.0,7.0,10.0,32.7
41,목조,2.0,2.0,9.0,9.0,40.9
42,철근콘크리트,1.0,3.0,8.0,8.0,33.5
43,벽돌,1.0,3.0,9.0,1.0,26.5
44,벽돌,2.0,3.0,7.0,9.0,36.1
45,목조,2.0,1.0,9.0,9.0,31.0
46,목조,1.0,1.0,6.0,1.0,18.9
47,철근콘크리트,1.0,1.0,9.0,6.0,25.8
48,철근콘크리트,1.0,1.0,12.0,6.0,24.0
49,벽돌,3.0,2.0,3.0,4.0,28.1
